taxonomic lineage,TR2-64-1,WC-10-1,TR1-62-2,TR2-44-2,WC-30-2,TR1-52-2,TR1-42-2,TR2-24-2,WC-50-2,WC-40-2,WC-35-2,TR1-32-2,WC-20-2,TR2-34-2,Mel1-3,Mel1M-2,Mel2S-3,Mel3S-1,Ritt1-3,Ritt3-3,Ritt3M-3
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,22,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,15,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,16,15,23,8,72,0,1663,269,299,0,204,0,1438,2688,1661,2171,56,163,842
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,1678,0,0,0,1078,24,481,0,209,0,24,280,960,1905,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,8,2111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,95,0,0,0,163,0,110,0,12,0,25,112,400,648,9,10,98
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,1043,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,718,0,0,0,49,44,110,0,165,0,0,4,0,0,0,0,42
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,790,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,50,0,0,0,0,0,0,0,180,0,0,16,0,97,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,52,12,0,0,0,0,31,49,58,77,0,0,19
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,18,42,0,0,0
